cohortId,targetId,targetName,subgroupId,subgroupName,cohortType
1009,1009,Amoxicillin,0,All,Target
1103,1103,antibiotics in SCYLLA,0,All,Target
1010,1010,Ceftriaxone,0,All,Target
1008,1008,Fluoroquinolones,0,All,Target
1007,1007,Azithromycin,0,All,Target
1105,1105,antidiabetics in SCYLLA,0,All,Target
1065,1065,DPP-4 inhibitors,0,All,Target
1067,1067,GLP1 inhibitors,0,All,Target
1064,1064,metformin,0,All,Target
1066,1066,SGLT2 inhibitors,0,All,Target
1052,1052,ACE inhibitors,0,All,Target
1053,1053,Angiotensin receptor blockers (ARBs),0,All,Target
1104,1104,concomitant cardiovascular prevention therapies in SCYLLA,0,All,Target
1077,1077,Losartan,0,All,Target
1054,1054,Non-Dihydropyridine Calcium Channel Blocker (ndCCB),0,All,Target
1055,1055,Thiazide or thiazide-like diuretics,0,All,Target
1041,1041,acenocoumarol,0,All,Target
1047,1047,alteplase,0,All,Target
1102,1102,antithrombotics in SCYLLA,0,All,Target
1042,1042,apixaban,0,All,Target
1045,1045,aspirin,0,All,Target
1043,1043,bemiparin,0,All,Target
1044,1044,clopidogrel,0,All,Target
1039,1039,dabigatran,0,All,Target
1038,1038,edoxaban,0,All,Target
1037,1037,enoxaparin,0,All,Target
1036,1036,heparin,0,All,Target
1046,1046,prasugrel,0,All,Target
1040,1040,rivaroxaban,0,All,Target
1035,1035,warfarin,0,All,Target
1100,1100,antivirals in SCYLLA,0,All,Target
1006,1006,Chloroquine,0,All,Target
1082,1082,emtricitabine,0,All,Target
1029,1029,favipiravir,0,All,Target
1024,1024,HIV Protease inhibitors,0,All,Target
1001,1001,Hydroxychloroquine ,0,All,Target
1004,1004,Hydroxychloroquine + Amoxicillin,0,All,Target
1002,1002,Hydroxychloroquine + Azithromycin ,0,All,Target
1005,1005,Hydroxychloroquine + ceftriaxone,0,All,Target
1003,1003,Hydroxychloroquine + Fluoroquinolones,0,All,Target
1028,1028,Interferon alfa 2a,0,All,Target
1027,1027,Interferon beta 1a,0,All,Target
1026,1026,Interferon beta 1b,0,All,Target
1034,1034,itraconazole,0,All,Target
1033,1033,Ivermectin,0,All,Target
1032,1032,oseltamivir,0,All,Target
1059,1059,raloxifene,0,All,Target
1030,1030,Remdesivir,0,All,Target
1031,1031,ribavirin,0,All,Target
1025,1025,ritonavir/lopinavir,0,All,Target
1080,1080,abiraterone,0,All,Target
1070,1070,"Alpha-1 blockers (Doxazosin, prazosin, terazosin, tasulosin, silodosin, alfuzosin)",0,All,Target
1048,1048,"Antifibrinolytics (tranexamic acid, aminocaproic acid)",0,All,Target
1106,1106,concomitant therapies in SCYLLA,0,All,Target
1075,1075,BCG vaccine,0,All,Target
1081,1081,bicalutamide,0,All,Target
1076,1076,Colchicine,0,All,Target
1073,1073,doxazosin,0,All,Target
1071,1071,prazosin,0,All,Target
1074,1074,tamsulosin,0,All,Target
1072,1072,terazosin,0,All,Target
1049,1049,tranexamic acid,0,All,Target
1063,1063,Statins,0,All,Target
1019,1019,adalimumab,0,All,Target
1023,1023,Anakinra,0,All,Target
1101,1101,immune-based therapies in SCYLLA,0,All,Target
1016,1016,baricitinib,0,All,Target
1060,1060,Bevacizumab,0,All,Target
1078,1078,cholecalciferol,0,All,Target
1057,1057,dexamethasone,0,All,Target
1062,1062,eculizumab ,0,All,Target
1020,1020,etanercept,0,All,Target
1069,1069,famotidine,0,All,Target
1061,1061,Fingolimod,0,All,Target
1068,1068,H2 receptor antagonist,0,All,Target
1056,1056,Hydrocortisone,0,All,Target
1079,1079,Ibrutinib,0,All,Target
1011,1011,"IL6 inhibitors (tocilizumab, sarilumab, siltuximab)",0,All,Target
1021,1021,infliximab,0,All,Target
